,Students age,Gender,Relationship status,Type of University,Father's education,Mother's education,Father's Occupation,Mother's Occupation,Family Income(monthly),Number of Siblings,Parental status,Previous School Location,Previous College Location,SSC result,HSC result,Scholarship in SSC,Scholarship in HSC,Accommodation,Weekly Study Time at home,Reading Scientific books/articles/journals,Reading Non-Scientific books/articles/journals,Attendance in class,Mid-Term Exam Preparation,Taking Exam Preparation,Taking Class Note,Any Co-curricular activity,Attend any Seminar related to department,Any part-time job,Smoking,Sports/ Exercise,Undergraduate 1st semester result (CGPA/GPA out of 4)
90,1,1,0,0,2,3,3,4,1,1,0,1,1,3,3,1,1,1,0,0,1,2,2,2,2,1,1,0,0,1,4
91,2,1,1,0,4,4,2,3,3,1,0,2,2,3,3,1,0,0,0,1,1,2,1,1,1,1,1,0,0,1,7
92,1,1,0,0,3,3,2,4,2,3,0,2,2,3,3,0,0,1,0,1,1,2,1,1,1,1,1,0,0,1,6
93,2,1,2,0,3,1,3,4,2,1,0,1,2,3,3,1,0,0,1,1,0,2,1,1,2,0,0,0,0,1,6
94,1,1,0,0,3,2,4,4,4,1,0,2,2,3,3,0,1,1,0,0,0,2,2,1,1,1,1,0,0,1,5
95,1,1,2,0,2,2,2,4,3,1,0,0,0,3,3,1,0,1,0,1,1,2,1,1,1,0,0,0,0,0,2
96,1,1,0,0,3,2,3,4,2,2,0,2,2,3,3,0,0,1,1,0,0,2,1,1,1,1,1,2,0,1,7
97,1,1,0,0,3,4,2,3,3,0,0,2,2,3,3,1,1,1,0,1,1,2,0,1,2,0,0,0,0,1,6
98,2,1,1,0,2,1,3,4,3,2,0,2,2,3,3,0,1,1,1,1,1,2,1,2,1,0,1,0,0,1,4
99,1,1,0,0,4,4,2,4,4,0,0,1,1,3,3,1,0,1,0,1,1,2,1,1,1,1,0,0,0,1,6
100,3,0,0,0,3,3,3,2,4,2,0,2,2,3,3,0,0,1,1,0,0,2,2,1,1,1,1,2,0,1,6
101,1,1,0,0,3,2,2,4,2,3,0,2,2,3,3,0,0,1,1,0,0,2,1,1,1,0,0,0,0,0,3
102,2,0,0,0,0,1,1,4,1,1,0,1,2,3,3,0,0,1,2,0,1,2,1,1,1,0,1,0,0,1,5
103,1,0,0,0,3,2,4,4,0,3,1,1,1,3,3,1,0,1,0,0,0,2,2,1,2,1,1,0,0,1,7
104,2,1,0,0,4,3,4,4,0,1,0,2,2,3,3,0,1,0,0,0,0,2,1,2,0,1,1,0,0,1,5
105,1,0,1,0,1,1,3,4,1,1,0,1,1,3,3,1,0,1,1,0,0,2,2,1,1,0,1,0,0,1,7
106,1,0,0,0,4,3,2,4,4,2,0,2,1,3,3,1,0,1,2,1,0,2,2,1,1,1,1,0,0,1,6
107,1,0,2,0,3,3,3,3,4,2,0,2,2,3,3,1,1,1,0,1,0,2,1,1,0,1,1,1,0,2,7
108,1,0,0,0,1,0,3,4,1,1,0,2,2,3,3,1,1,1,0,1,0,2,1,1,0,1,1,0,0,1,6
109,1,0,1,0,4,4,3,3,3,1,0,2,2,3,3,0,0,1,1,1,0,2,2,1,1,1,1,1,0,2,6
110,1,0,2,0,4,3,1,1,4,2,0,1,1,3,3,1,1,1,1,1,1,2,2,1,2,1,1,1,0,1,6
111,1,1,0,0,4,3,2,4,4,1,0,1,1,3,3,0,0,1,0,1,1,2,2,1,1,1,0,0,0,1,6
112,1,1,1,0,2,1,0,1,3,1,0,2,2,3,3,0,0,1,1,1,1,1,2,2,2,1,1,0,0,1,6
113,1,0,0,0,3,3,2,4,1,3,0,1,1,3,3,1,1,1,1,0,1,2,1,1,1,1,0,0,0,2,7
114,1,1,0,0,2,2,1,4,0,2,0,1,1,3,3,1,0,1,1,0,0,2,1,1,2,0,0,0,0,0,6
115,2,0,0,0,4,4,3,4,2,1,0,1,1,3,3,0,1,1,1,1,0,2,2,2,1,1,0,0,0,2,4
116,1,1,0,0,3,3,3,4,1,3,0,2,0,3,3,0,1,1,1,0,1,2,0,1,1,0,1,1,0,1,6
117,1,1,0,0,3,3,3,4,0,3,0,1,1,3,3,0,1,1,1,1,1,2,1,1,2,1,0,0,1,1,4
118,0,1,0,0,2,4,0,3,0,1,0,1,1,3,3,0,0,1,1,1,1,2,0,1,1,0,1,0,0,1,4
119,1,0,0,0,3,3,3,4,1,1,0,1,1,3,3,1,1,1,1,1,1,2,1,1,0,1,1,1,0,1,7
120,1,1,0,0,4,4,4,3,2,1,1,0,0,3,3,1,1,1,1,1,0,2,1,1,2,0,0,0,0,1,6
121,1,0,0,0,3,2,2,4,2,0,1,1,1,3,3,1,0,1,3,1,1,2,1,1,2,1,1,3,0,2,6
122,1,0,0,0,3,3,2,4,0,1,0,1,1,3,3,1,1,1,2,1,1,2,2,2,2,1,1,0,0,1,6
123,1,0,0,0,3,3,3,3,1,1,1,2,2,3,3,0,0,1,0,1,1,2,1,1,1,1,0,0,1,1,6
124,1,0,0,0,2,2,3,4,1,2,0,1,1,3,3,0,1,1,1,0,0,2,2,1,1,1,0,0,1,2,4
125,2,0,0,0,3,2,0,4,2,0,0,0,0,3,2,0,0,1,1,1,1,2,2,2,1,1,1,0,0,1,6
126,1,1,0,0,4,4,2,0,4,3,0,1,1,3,3,0,0,1,1,0,1,2,1,1,1,0,0,0,0,1,2
127,1,0,0,0,3,3,3,3,2,1,1,1,1,3,3,0,0,1,0,0,0,2,2,1,0,0,0,0,0,1,4
128,0,0,0,0,1,1,2,4,4,0,0,0,0,2,3,0,1,1,1,0,1,2,1,1,1,0,1,1,0,1,6
129,2,0,1,0,4,3,0,4,2,3,0,1,1,3,3,1,0,1,0,1,0,2,1,1,1,1,1,1,0,1,7
130,2,0,0,0,4,4,3,4,4,1,0,1,1,3,3,0,0,1,1,0,1,2,1,1,2,1,1,0,1,1,2
131,1,0,0,0,4,4,4,3,4,2,0,1,1,3,3,1,1,1,1,1,1,2,2,1,2,1,1,0,0,1,7
132,2,0,1,0,3,2,3,4,1,2,1,2,1,3,3,0,0,1,0,0,1,2,1,1,1,1,1,1,0,1,6
133,1,1,0,1,4,1,2,4,4,2,0,2,2,2,3,0,0,0,1,1,1,2,1,2,2,1,0,3,0,1,4
134,2,0,0,1,2,3,2,4,0,0,1,1,2,3,3,1,1,0,0,1,1,2,1,2,2,1,0,1,0,2,5
135,2,0,0,1,3,3,3,0,2,1,0,0,2,3,2,0,0,3,0,1,1,0,1,2,2,1,1,0,0,1,7
136,1,0,0,1,2,2,4,4,1,1,0,1,1,3,2,1,0,2,1,1,0,2,1,1,2,1,1,0,0,1,6
137,2,0,0,0,2,1,2,4,0,1,0,0,1,3,3,0,0,1,1,1,1,2,2,2,2,1,1,1,0,2,6
138,2,0,0,0,2,1,4,4,0,0,0,2,2,3,3,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,2
139,2,0,0,1,3,4,2,3,1,2,0,0,2,3,2,1,0,2,0,0,0,1,1,1,0,0,0,0,1,2,7
140,1,1,2,0,4,2,2,4,4,3,0,1,1,3,3,0,0,0,2,1,1,2,1,2,2,0,0,0,0,1,6
141,1,0,0,0,3,3,0,3,4,2,0,1,1,3,3,0,1,1,1,0,0,2,2,1,1,1,1,1,1,0,6
142,2,0,0,1,3,3,3,4,2,0,0,2,2,3,2,0,0,0,1,1,1,1,1,1,1,1,1,0,0,1,5
143,2,1,0,1,4,3,4,4,0,3,0,2,2,3,2,0,0,0,1,1,1,2,1,2,2,1,1,2,0,1,5
144,1,1,1,0,4,3,3,4,4,1,0,2,2,3,3,0,0,0,1,1,1,2,1,1,2,1,1,0,0,1,6
145,1,1,2,1,4,3,3,4,2,1,0,2,2,3,3,0,0,0,5,1,1,2,1,2,1,0,1,0,0,1,7
146,1,0,0,0,4,2,3,4,0,1,0,1,1,3,2,0,0,0,0,0,1,2,0,2,2,0,1,0,0,1,4
147,0,1,0,2,3,1,2,4,1,2,0,0,0,2,2,0,0,0,5,0,1,2,1,2,1,1,0,1,0,1,6
148,1,0,0,0,3,1,4,4,2,2,0,1,1,3,3,1,1,1,0,1,1,2,2,1,1,1,1,0,0,0,4
149,2,0,0,0,3,1,3,4,2,1,0,1,1,3,3,1,1,1,1,1,1,2,2,1,1,1,1,3,0,1,6
150,1,0,0,0,4,4,4,4,0,1,1,2,2,3,3,1,0,1,0,0,0,2,2,1,0,0,0,0,0,2,4
151,3,0,2,0,2,0,0,4,0,0,0,0,0,3,2,0,0,0,0,1,1,2,2,2,1,1,1,1,0,1,5
152,1,1,2,0,2,0,0,4,1,0,0,0,0,3,3,0,1,0,0,1,1,0,1,1,1,0,0,0,0,0,6
153,0,1,0,1,4,3,0,4,2,0,0,2,2,2,3,0,0,0,2,1,1,2,1,2,2,1,0,1,0,1,3
154,1,1,0,0,3,4,0,4,3,2,0,2,2,3,3,0,1,0,0,0,0,2,2,1,1,1,1,0,0,1,6
155,2,1,2,0,2,2,4,4,2,1,0,2,2,3,2,0,0,0,0,0,0,2,1,1,1,1,0,3,0,1,4
